Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q5_1	Q5_2	Q5_3	Q6	Q7P_1	Q7P_2	Q7P_3	Q7P_4	Q7S_1	Q7S_2	Q7S_3	Q7S_4	Q8_1	Q8_2	Q8_3	Q10	Q15	Q15_1	Q16	Q1	CODERESP
9	10	10	9	10	10	8	10	10	10	10	6	7	10	10	8	5	10	10	10	10	10	10	9	1	471
8	9	8	8	8	5	10	10	8	8	8	8	8	10	9	9	6	8	7	7	10	9	9	9	1	311
2	8	1	5	1	5	2	1	2	5	7	1	3	7	5	1	3	3	3	5	5	2	2	5	1	824
10	10	10	10	10	10	10	10	10	8	10	10	10	10	10	10	8	7	10	8	10	8	10	10	1	1099
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	1120
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	118
10	9	9	8	9	9	10	8	10	10	10	7	10	10	10	10	8	10	10	10	10	10	10	10	1	364
8	9	8	8	8	7	7	7	8	7	6	8	8	9	8	8	8	6	7	9	8	6	8	7	1	27
8	9	7	7	9	8	8	8	9	9	9	2	8	8	8	8	9	8	8	9	10	10	10	9	1	461
10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	10	1	722
6	10	5	5	5	10	10	10	8	8	10	10	7	8	4	7	7	6	8	7	3	8	8	7	1	868
3	7	3	6	8	10	6	8	3	8	10	10	5	3	8	4	2	5	5	5	1	7	7	9	1	830
10	10	7	8	8	8	8	8	8	10	10	10	10	10	10	10	6	7	7	7	10	10	10	10	1	1189
8	8	7	7	7	7	8	8	7	7	10	5	6	7	7	7	5	7	7	7	7	7	7	7	1	1146
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	10	8	8	8	1	1046
10	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	585
10	10	10	8	9	9	9	10	9	10	10	9	9	10	9	9	9	10	10	9	10	9	10	9	1	785
7	8	7	8	8	7	5	7	7	8	6	10	7	6	6	7	5	6	7	9	10	9	9	8	1	452
5	6	5	7	4	8	8	8	6	7	8	1	7	5	4	6	3	4	6	7	9	6	6	6	1	83
10	10	10	9	10	8	8	8	8	10	10	10	8	10	10	10	8	10	10	10	10	10	10	10	1	1230
9	9	9	8	9	8	8	9	8	8	8	5	7	8	8	8	8	7	8	8	10	8	7	9	1	78
8	8	8	8	8	10	10	8	5	10	10	9	8	9	8	8	7	8	8	9	10	8	10	8	1	138
10	10	9	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	296
7	7	7	5	8	6	6	7	6	7	8	9	6	8	9	8	4	7	7	7	10	5	7	5	1	389
8	8	8	7	7	8	8	7	5	5	9	8	5	5	7	7	6	7	7	8	8	5	5	5	1	1250
8	10	10	10	10	10	10	10	8	8	10	8	8	8	7	8	7	8	9	9	10	10	10	9	1	438
10	7	7	7	7	7	7	7	8	7	9	6	7	7	7	7	7	8	8	8	10	8	8	9	1	774
9	8	7	9	9	8	8	8	7	8	9	8	8	7	8	8	7	9	8	8	9	8	10	9	1	723
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	1010
2	10	2	2	2	8	8	8	2	8	7	8	6	6	6	2	2	5	5	5	7	1	7	6	1	1050
8	8	8	8	8	8	8	8	5	8	9	8	8	8	8	8	8	5	8	8	10	6	8	8	1	277
10	10	10	10	10	8	8	8	8	10	10	10	8	10	10	10	10	8	10	10	10	10	8	10	1	801
9	10	9	9	9	10	10	10	7	10	10	9	7	9	8	9	8	9	8	9	10	9	10	9	1	404
10	10	10	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	1	475
8	8	8	10	8	10	10	10	10	8	10	10	8	10	10	8	8	8	10	10	10	8	9	10	1	1254
10	10	5	5	10	10	10	8	5	10	10	6	5	8	9	8	5	8	10	10	10	10	10	10	1	557
8	9	9	9	9	10	10	10	8	9	9	9	9	9	9	9	9	8	8	9	10	9	9	9	1	287
10	10	10	10	10	10	10	10	9	10	10	10	8	10	10	10	10	7	9	9	10	5	5	10	1	413
10	10	10	10	10	10	10	10	8	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	1	107
9	10	9	9	9	9	9	9	9	10	10	10	7	9	9	9	7	9	9	10	10	10	10	9	1	398
10	10	10	10	10	10	10	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	1	554
7	7	5	3	3	10	10	10	4	10	10	8	5	6	5	6	3	5	5	8	10	3	5	9	1	313
10	10	10	10	10	7	10	8	9	10	10	10	10	10	10	10	7	10	10	10	10	10	10	10	1	910
8	7	7	7	7	8	8	8	8	10	10	10	7	7	7	7	5	7	7	9	9	9	9	8	1	991
9	10	11	11	8	9	9	9	7	11	9	2	11	6	11	11	11	5	7	8	8	7	7	7	2	1221
8	8	11	11	11	8	8	8	7	10	10	10	7	11	6	11	11	5	7	8	10	98	7	8	2	446
6	6	6	11	6	8	8	8	7	9	9	11	11	11	11	11	11	7	7	8	8	6	5	5	2	362
9	9	7	11	11	10	10	10	6	8	8	8	11	11	11	11	11	5	5	10	5	10	9	7	2	667
8	10	11	11	8	9	9	9	9	10	10	5	11	11	7	11	9	11	8	5	10	98	1	8	2	1081
7	7	7	7	7	8	8	8	7	6	10	9	11	11	8	11	7	11	9	11	5	98	8	8	2	1165
5	10	11	11	10	10	10	10	8	10	10	10	5	11	8	11	11	8	8	5	1	98	1	9	2	919
6	11	6	11	11	10	10	10	5	10	10	7	11	5	3	5	6	11	8	11	5	7	7	7	2	854
8	7	9	11	8	10	10	10	10	10	10	10	11	11	11	8	11	8	8	11	10	9	10	10	2	466
6	6	5	5	6	10	10	10	7	11	8	8	11	11	11	11	11	5	7	4	8	7	7	5	2	271
2	3	1	1	1	8	8	8	1	11	8	5	11	11	11	11	11	7	5	5	5	3	5	5	2	1212
1	1	1	1	1	1	1	1	1	1	9	9	11	1	11	11	11	1	1	11	1	1	1	1	2	1127
5	5	3	5	5	5	5	5	5	5	5	5	5	11	11	11	11	5	5	11	5	5	5	5	2	305
8	8	8	11	8	10	9	9	8	9	8	9	11	8	8	8	11	5	8	11	8	98	8	7	2	377
6	8	7	11	7	6	7	7	6	7	7	7	11	11	8	11	8	5	5	11	5	6	6	6	2	266
6	7	11	11	7	9	9	9	5	9	10	10	3	11	2	11	2	8	8	11	2	6	5	5	2	38
8	10	7	5	9	8	8	8	8	10	8	6	11	10	11	8	11	11	8	10	10	98	10	10	2	628
5	5	5	6	11	9	9	9	5	8	5	5	11	11	9	11	6	5	5	8	8	98	5	5	2	615
6	6	6	11	8	7	7	7	7	10	10	11	6	7	7	11	6	11	7	11	7	7	7	6	2	485
7	8	11	11	8	8	8	8	7	8	9	10	11	9	8	8	11	9	9	6	6	8	6	7	2	737
5	5	5	5	5	7	7	7	6	5	6	6	11	6	6	6	6	11	11	11	8	7	7	6	2	889
4	8	5	6	5	9	9	9	3	5	5	11	11	11	5	11	5	1	1	1	3	5	4	2	2	675
7	7	7	11	11	7	7	7	7	7	7	7	7	7	7	7	11	7	7	11	6	7	7	7	2	378
10	10	11	11	11	10	10	10	7	5	10	9	8	9	9	10	11	10	10	9	10	8	8	9	2	530
5	9	11	11	6	7	7	7	6	7	10	8	11	8	11	8	2	6	9	8	7	6	6	5	2	729
7	8	8	8	8	8	8	8	7	7	8	8	8	8	7	11	5	11	8	11	8	8	1	7	2	663
2	5	5	5	5	3	3	3	4	11	5	11	3	5	2	5	2	2	5	11	2	3	2	2	2	509
7	8	5	7	7	9	8	8	8	6	5	5	7	11	9	9	3	11	11	5	7	5	7	6	2	197
4	4	3	1	1	1	4	3	3	7	5	9	11	6	5	11	11	2	3	6	4	3	1	2	2	320
3	2	1	1	11	6	3	3	3	1	5	7	11	5	5	6	11	6	7	1	2	1	1	1	2	1274
5	5	5	5	5	9	9	9	4	7	7	5	6	11	11	11	6	7	8	5	4	5	5	4	2	200
10	10	10	11	10	7	10	10	8	10	10	10	11	7	1	9	1	8	10	11	10	7	8	8	2	155
8	7	6	11	7	8	8	8	7	8	10	6	11	7	6	7	5	6	8	11	10	8	7	8	2	548
2	10	11	11	11	9	9	9	5	7	9	7	5	7	8	7	7	7	8	8	10	6	8	8	2	1077
8	6	6	11	6	9	9	9	7	7	7	7	8	8	8	11	8	7	7	11	8	7	7	8	2	182
5	8	3	11	8	10	10	10	7	8	10	8	1	8	5	11	5	4	7	11	5	5	5	8	2	1044
8	8	6	7	8	8	8	8	7	8	8	5	6	11	5	11	5	6	7	11	6	7	6	6	2	1058
3	10	1	1	1	1	1	1	1	1	10	10	5	11	10	11	11	1	1	1	1	1	1	1	2	844
2	5	1	11	5	9	9	5	1	8	8	8	4	7	5	2	11	5	5	1	1	5	5	4	2	510
10	10	10	9	9	10	1	9	9	10	8	10	9	10	10	10	10	11	11	10	10	10	10	10	2	865
6	8	2	11	8	10	10	10	7	10	9	9	7	9	9	9	11	7	7	7	8	6	5	7	2	81
3	2	2	2	2	9	9	9	2	3	3	2	3	11	3	11	3	8	8	3	8	4	4	4	2	684
5	9	6	5	5	9	9	9	7	9	9	9	11	7	7	7	7	6	7	6	10	98	6	7	2	1082
8	8	11	7	8	9	9	8	8	9	9	9	7	8	8	8	6	7	8	11	9	8	8	8	2	686
7	8	7	5	6	7	8	7	7	9	9	8	11	11	8	8	8	7	8	7	8	7	6	6	2	166
9	9	7	5	9	10	9	10	8	9	9	9	7	11	4	11	6	8	9	8	8	7	7	7	2	1264
6	1	1	1	1	1	1	1	8	1	1	1	11	1	1	1	1	9	9	5	10	98	8	8	2	108
6	9	6	11	8	7	5	7	5	6	10	8	6	11	5	5	4	5	5	5	10	6	5	7	2	152
7	9	9	11	8	5	8	8	5	6	6	6	7	9	8	9	7	7	7	11	5	6	5	5	2	893
10	10	8	11	10	10	10	10	7	10	10	10	8	8	10	10	8	8	8	11	9	10	10	8	2	1167
6	6	5	5	5	5	6	5	6	11	7	6	6	5	5	5	5	5	5	7	6	98	4	6	2	215
9	8	10	7	9	10	10	10	8	9	8	9	7	10	10	10	11	8	10	7	10	8	8	7	2	82
4	4	3	8	6	11	9	5	5	3	9	9	5	6	4	7	2	6	6	4	4	4	1	4	2	820
7	8	7	11	9	10	10	10	9	8	10	10	7	9	6	9	4	5	6	4	7	8	7	7	2	1049
7	6	6	6	8	8	8	8	7	7	9	8	7	7	8	7	11	9	8	8	8	8	8	8	2	843
3	3	1	1	1	2	4	7	4	1	4	6	11	3	1	2	2	1	3	1	1	1	1	1	2	591
8	8	8	8	8	9	9	9	8	8	8	8	6	7	7	7	6	7	7	11	10	8	8	7	2	455
8	8	5	9	8	9	8	8	8	9	9	9	11	6	8	8	5	6	9	8	8	9	8	8	2	751
6	10	5	5	7	10	10	10	7	9	9	6	11	10	10	10	10	5	5	6	5	6	6	6	2	750
7	10	7	11	10	10	10	10	7	10	10	10	8	10	10	10	7	9	9	9	8	8	7	8	2	224
6	5	3	5	2	7	7	7	6	6	6	4	5	11	7	7	7	2	2	5	4	5	2	4	2	1237
8	10	9	8	10	10	10	10	8	8	9	9	11	9	7	9	6	7	8	8	7	8	7	8	2	46
8	8	6	6	8	8	8	8	6	7	9	9	8	9	8	8	7	7	6	11	5	8	7	8	2	1043
8	10	10	9	10	10	10	10	8	10	7	10	11	10	9	9	9	9	9	9	10	10	10	8	2	249
7	8	6	8	8	8	8	8	7	6	10	10	8	8	8	8	8	6	8	11	10	9	10	7	2	293
6	3	3	3	3	8	8	8	5	7	9	5	3	3	3	2	2	3	3	11	4	5	5	5	2	1062
3	8	4	11	3	9	9	9	4	8	8	7	5	6	4	6	4	3	7	5	4	4	3	4	2	468
4	5	2	2	2	5	5	5	4	4	7	3	4	3	3	3	2	3	3	11	10	3	1	1	2	833
7	8	6	8	7	10	7	9	8	9	7	8	11	9	7	8	7	7	8	7	7	7	7	6	2	561
9	8	8	11	8	10	10	10	9	10	10	9	8	9	9	9	9	9	9	9	9	9	9	9	2	783
2	7	4	5	2	8	6	7	5	10	10	6	11	7	3	7	6	5	5	5	5	5	5	3	2	727
7	6	6	7	8	7	7	8	6	8	10	11	6	8	5	8	7	7	7	6	6	7	7	6	2	399
9	10	10	11	10	10	10	10	9	10	10	10	9	10	10	10	10	8	10	10	10	10	10	10	2	312
4	4	4	4	4	4	4	4	6	3	3	3	5	5	5	4	5	5	5	5	5	5	4	4	2	153
8	8	4	9	8	10	10	10	8	7	10	8	7	10	10	8	8	5	8	6	5	6	6	7	2	1166
8	8	8	5	8	8	8	8	8	9	9	9	8	9	9	9	9	8	8	8	10	8	8	8	2	832
9	9	9	10	10	9	9	9	7	10	9	10	9	9	8	9	7	7	7	7	10	9	9	7	2	297
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	231
9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	2	479
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	415
1	5	1	1	3	10	10	10	1	3	10	10	3	5	5	8	5	1	1	3	1	3	1	1	2	501
7	8	8	6	8	9	10	9	7	8	9	8	8	7	9	8	9	8	8	8	8	8	9	7	2	1293
7	7	7	7	7	9	9	9	7	7	6	5	7	7	7	7	7	6	7	7	7	7	7	7	2	467
6	5	5	5	5	5	5	5	6	6	7	3	6	6	6	6	6	6	6	6	6	6	5	5	2	1078
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	235
5	7	4	2	6	7	7	7	7	10	10	10	6	3	3	7	3	7	7	6	6	8	7	7	2	237
5	5	5	6	6	6	6	6	5	4	7	5	5	4	4	5	4	4	5	5	6	7	7	6	2	724
8	10	8	8	8	9	9	9	7	10	10	10	8	8	8	8	6	8	8	8	10	8	8	8	2	896
3	5	2	2	4	3	3	3	3	4	8	3	4	3	3	2	3	3	2	1	1	2	1	2	2	1175
7	7	6	6	6	8	7	7	7	7	8	9	7	7	6	6	6	7	7	7	7	6	6	6	2	406
4	3	3	3	3	3	3	3	4	3	3	3	5	4	4	4	4	3	3	4	5	5	4	4	2	187
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	488
7	10	10	9	9	10	10	10	9	8	8	8	9	9	9	9	9	8	8	8	9	9	9	8	2	278
5	6	4	5	7	7	6	6	5	6	9	8	8	7	6	8	5	6	6	5	3	4	4	4	2	463
8	8	9	9	8	9	9	9	8	10	10	7	7	10	7	9	3	8	8	10	10	8	8	8	2	1060
5	5	5	5	5	7	7	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	140
9	9	9	9	9	8	9	9	9	9	9	10	8	10	10	10	10	9	9	9	9	9	9	10	2	1135
7	6	5	4	5	6	5	4	7	5	4	3	8	6	6	5	6	6	5	8	8	8	7	7	2	280
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	784
9	5	5	6	6	9	9	9	9	9	9	9	8	5	8	8	8	9	9	5	8	10	10	6	2	29
5	5	2	5	4	10	1	6	5	4	10	10	5	6	1	1	6	3	6	4	10	5	1	5	2	1003
7	6	6	6	6	5	5	5	7	6	6	6	8	6	6	6	6	6	6	7	7	7	7	7	2	91
5	7	7	7	7	6	6	6	5	7	8	9	5	6	7	7	7	6	7	5	8	6	6	6	2	835
7	7	6	8	8	6	8	8	7	8	9	9	9	7	6	8	8	7	8	8	6	6	7	6	2	517
9	8	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	10	10	10	10	10	9	9	2	346
3	3	2	4	3	8	8	8	3	3	5	5	5	3	4	3	4	3	6	2	1	3	1	1	2	1114
5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	2	310
5	8	5	5	5	1	6	5	5	8	8	10	5	7	6	5	8	5	5	1	1	5	5	5	2	349
8	7	4	5	6	6	6	6	8	10	10	8	5	3	5	3	5	5	5	5	5	9	9	9	2	606
8	10	7	5	7	8	10	8	6	10	10	10	8	7	7	8	3	8	8	7	9	9	9	8	2	240
5	5	4	4	5	10	10	10	4	6	6	1	5	7	7	7	6	4	4	4	5	4	4	4	2	1277
5	5	5	5	5	4	4	4	5	6	6	9	5	6	6	6	6	6	6	6	5	6	5	5	2	104
10	10	10	10	10	10	10	10	9	10	10	10	6	10	10	10	10	10	10	10	10	10	10	10	2	265
8	8	8	6	10	8	8	8	8	10	9	9	7	10	9	9	10	8	8	9	10	9	9	7	2	625
6	6	5	5	7	5	5	5	5	5	5	5	7	6	4	5	6	5	5	6	7	6	8	6	2	1016
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	572
10	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	947
5	6	5	6	4	5	5	6	5	5	7	5	4	6	4	5	5	6	6	4	2	3	3	3	2	661
5	5	4	7	6	5	6	8	6	5	7	8	6	4	6	5	6	7	6	6	5	6	5	5	2	1152
7	7	7	7	7	9	9	9	7	8	8	8	7	8	8	8	8	6	6	6	6	6	7	7	2	988
7	10	9	8	7	9	9	9	7	9	10	10	10	9	8	7	5	8	9	2	10	8	9	7	2	186
7	5	5	5	5	7	7	7	8	7	7	7	9	9	9	9	9	8	8	8	7	7	7	7	2	339
8	8	8	8	8	8	9	10	8	8	9	9	7	7	8	7	7	8	6	7	5	7	6	7	2	562
4	5	3	5	6	10	10	9	5	6	8	4	5	5	4	6	5	4	7	5	3	3	3	4	2	808
6	8	8	7	8	6	6	6	6	5	5	5	5	5	5	5	5	6	6	5	7	8	7	8	2	516
6	7	7	7	7	8	8	8	5	7	7	7	4	8	8	5	8	7	7	5	8	7	6	6	2	45
7	7	7	5	6	7	8	7	7	10	10	8	7	8	8	7	7	7	7	7	5	6	6	6	2	17
6	5	7	5	6	5	4	4	6	5	5	6	6	6	5	6	4	5	5	7	6	7	7	7	2	619
8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	8	8	7	10	9	9	9	2	697
10	10	10	10	10	9	9	9	7	10	10	2	9	9	6	2	1	5	10	6	10	8	10	10	2	518
8	10	7	7	10	10	10	10	8	10	10	10	9	10	10	10	10	8	8	8	10	8	8	8	2	1023
8	8	8	8	8	8	8	8	8	10	9	8	8	8	8	8	6	8	8	8	8	8	8	8	2	934
7	3	2	4	3	7	9	9	8	8	8	10	8	5	6	8	7	7	7	8	9	8	9	9	2	1124
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	685
6	4	4	2	4	4	5	6	6	3	3	3	8	6	6	6	6	6	6	8	9	7	7	7	2	658
2	3	3	3	2	3	3	3	3	4	6	6	4	5	5	3	3	2	2	1	1	2	1	1	2	42
2	6	2	3	3	8	8	8	2	7	8	4	3	9	8	8	5	3	3	3	3	2	3	4	2	281
8	10	11	11	8	10	8	10	10	10	10	10	11	11	8	8	11	8	10	11	10	98	8	8	3	597
6	5	11	11	8	6	7	7	5	7	9	6	11	11	7	11	11	5	8	11	5	5	6	5	3	208
4	5	1	11	4	11	9	9	4	3	9	7	11	11	3	3	1	1	10	11	1	98	1	8	3	1002
7	8	6	11	7	7	8	7	7	5	9	8	11	11	11	8	3	4	7	1	4	98	4	8	3	307
8	7	11	5	8	9	8	7	8	9	10	7	7	11	5	11	5	6	8	11	10	98	7	7	3	535
10	10	11	11	10	10	10	10	10	10	8	10	11	10	10	10	11	7	7	8	6	98	10	6	3	35
7	8	11	11	10	10	10	10	8	9	9	6	11	7	11	9	11	9	9	5	7	7	6	7	3	238
7	7	11	7	9	9	9	9	8	8	8	8	7	7	7	7	11	11	7	11	7	98	7	7	3	217
6	5	11	3	5	5	5	5	6	10	5	5	11	5	7	5	11	5	5	11	10	98	1	5	3	1080
7	6	5	5	7	7	8	7	7	8	8	8	6	11	7	11	11	11	6	5	6	7	6	6	3	974
7	8	5	11	9	10	10	10	6	7	10	8	11	7	8	11	11	8	10	8	8	7	5	7	3	648
5	6	7	6	9	10	10	10	8	8	7	10	5	9	10	10	11	11	11	11	5	5	5	5	3	590
8	10	8	11	10	10	8	11	10	10	10	10	11	10	7	10	11	8	10	8	10	7	8	10	3	937
5	5	4	11	9	11	7	2	4	4	9	6	11	7	8	6	1	3	3	11	5	4	4	5	3	942
8	10	8	11	10	8	8	8	10	10	9	10	8	8	9	11	11	9	10	11	10	8	10	9	3	944
7	8	5	11	8	7	7	7	6	7	7	9	11	8	5	6	3	11	11	7	7	6	5	6	3	742
8	6	6	11	6	10	10	10	5	8	8	8	8	2	11	2	11	6	8	7	9	98	7	7	3	593
9	10	7	11	7	10	10	10	7	10	7	7	11	8	8	8	8	7	8	11	5	5	7	7	3	131
8	10	10	9	9	10	10	10	9	10	10	10	11	11	9	11	5	8	8	5	5	8	10	8	3	1215
7	7	5	11	6	9	9	9	6	11	8	8	3	5	3	5	1	6	6	6	6	98	5	6	3	306
7	8	8	11	7	9	9	9	6	8	9	9	8	8	8	8	6	11	7	11	5	7	7	5	3	945
9	8	8	5	8	8	10	10	10	8	10	5	7	9	5	11	6	9	9	11	9	98	9	7	3	534
